season,date,game_id,play_id,neutral,half,home,away,home_name,away_name,home_timeouts,away_timeouts,home_score,away_score,score_diff,team_id,event_team,game_secs_remaining,half_secs_remaining,play_length,desc,shot_outcome,free_throw,three_pt,shot_desc,loc_x,loc_y,shooter_id,shooter,assist,substitution,poss_before,poss_after,poss_number,sub_error,home_1,home_2,home_3,home_4,home_5,away_1,away_2,away_3,away_4,away_5
2017-18,2018-02-03,1961073,1,0,1,North Carolina State,Notre Dame,Wolfpack,Fighting Irish,4,4,0,0,0,1549,Notre Dame,NA,NA,NA,Starting Lineup - T.J. Gibbs,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Markell Johnson,Torin Dorn,Abdul-Malik Abu,Omer Yurtseven,Braxton Beverly,T.J. Gibbs,Matt Farrell,Martinas Geben,John Mooney,Rex Pflueger
2017-18,2018-02-03,1961073,1,0,1,North Carolina State,Notre Dame,Wolfpack,Fighting Irish,4,4,0,0,0,1538,North Carolina State,NA,NA,NA,Starting Lineup - Markell Johnson,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Markell Johnson,Torin Dorn,Abdul-Malik Abu,Omer Yurtseven,Braxton Beverly,T.J. Gibbs,Matt Farrell,Martinas Geben,John Mooney,Rex Pflueger
2017-18,2018-02-03,1961073,1,0,1,North Carolina State,Notre Dame,Wolfpack,Fighting Irish,4,4,0,0,0,1538,North Carolina State,NA,NA,NA,Starting Lineup - Torin Dorn,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Markell Johnson,Torin Dorn,Abdul-Malik Abu,Omer Yurtseven,Braxton Beverly,T.J. Gibbs,Matt Farrell,Martinas Geben,John Mooney,Rex Pflueger
2017-18,2018-02-03,1961073,1,0,1,North Carolina State,Notre Dame,Wolfpack,Fighting Irish,4,4,0,0,0,1549,Notre Dame,NA,NA,NA,Starting Lineup - Matt Farrell,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Markell Johnson,Torin Dorn,Abdul-Malik Abu,Omer Yurtseven,Braxton Beverly,T.J. Gibbs,Matt Farrell,Martinas Geben,John Mooney,Rex Pflueger
2017-18,2018-02-03,1961073,1,0,1,North Carolina State,Notre Dame,Wolfpack,Fighting Irish,4,4,0,0,0,1538,North Carolina State,NA,NA,NA,Starting Lineup - Abdul-Malik Abu,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Markell Johnson,Torin Dorn,Abdul-Malik Abu,Omer Yurtseven,Braxton Beverly,T.J. Gibbs,Matt Farrell,Martinas Geben,John Mooney,Rex Pflueger
2017-18,2018-02-03,1961073,1,0,1,North Carolina State,Notre Dame,Wolfpack,Fighting Irish,4,4,0,0,0,1538,North Carolina State,NA,NA,NA,Starting Lineup - Omer Yurtseven,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Markell Johnson,Torin Dorn,Abdul-Malik Abu,Omer Yurtseven,Braxton Beverly,T.J. Gibbs,Matt Farrell,Martinas Geben,John Mooney,Rex Pflueger
2017-18,2018-02-03,1961073,1,0,1,North Carolina State,Notre Dame,Wolfpack,Fighting Irish,4,4,0,0,0,1549,Notre Dame,NA,NA,NA,Starting Lineup - Martinas Geben,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Markell Johnson,Torin Dorn,Abdul-Malik Abu,Omer Yurtseven,Braxton Beverly,T.J. Gibbs,Matt Farrell,Martinas Geben,John Mooney,Rex Pflueger
2017-18,2018-02-03,1961073,1,0,1,North Carolina State,Notre Dame,Wolfpack,Fighting Irish,4,4,0,0,0,1538,North Carolina State,NA,NA,NA,Starting Lineup - Braxton Beverly,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Markell Johnson,Torin Dorn,Abdul-Malik Abu,Omer Yurtseven,Braxton Beverly,T.J. Gibbs,Matt Farrell,Martinas Geben,John Mooney,Rex Pflueger
2017-18,2018-02-03,1961073,1,0,1,North Carolina State,Notre Dame,Wolfpack,Fighting Irish,4,4,0,0,0,1549,Notre Dame,NA,NA,NA,Starting Lineup - John Mooney,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Markell Johnson,Torin Dorn,Abdul-Malik Abu,Omer Yurtseven,Braxton Beverly,T.J. Gibbs,Matt Farrell,Martinas Geben,John Mooney,Rex Pflueger
2017-18,2018-02-03,1961073,1,0,1,North Carolina State,Notre Dame,Wolfpack,Fighting Irish,4,4,0,0,0,1549,Notre Dame,NA,NA,NA,Starting Lineup - Rex Pflueger,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Markell Johnson,Torin Dorn,Abdul-Malik Abu,Omer Yurtseven,Braxton Beverly,T.J. Gibbs,Matt Farrell,Martinas Geben,John Mooney,Rex Pflueger
