season,date,game_id,play_id,neutral,half,home,away,home_name,away_name,home_timeouts,away_timeouts,home_score,away_score,score_diff,team_id,event_team,game_secs_remaining,half_secs_remaining,play_length,desc,shot_outcome,free_throw,three_pt,shot_desc,loc_x,loc_y,shooter_id,shooter,assist,substitution,poss_before,poss_after,poss_number,sub_error,home_1,home_2,home_3,home_4,home_5,away_1,away_2,away_3,away_4,away_5
2021-22,2022-02-09,2397255,1,0,1,Memphis,Tulane,Tigers,Green Wave,4,4,0,0,0,1493,Memphis,NA,NA,NA,Starting Lineup - DeAndre Williams,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,DeAndre Williams,Jalen Duren,Lester Quinones,Alex Lomax,Earl Timberlake,Jaylen Forbes,Jalen Cook,Sion James,R.J. McGee,Kevin Cross
2021-22,2022-02-09,2397255,1,0,1,Memphis,Tulane,Tigers,Green Wave,4,4,0,0,0,1493,Memphis,NA,NA,NA,Starting Lineup - Jalen Duren,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,DeAndre Williams,Jalen Duren,Lester Quinones,Alex Lomax,Earl Timberlake,Jaylen Forbes,Jalen Cook,Sion James,R.J. McGee,Kevin Cross
2021-22,2022-02-09,2397255,1,0,1,Memphis,Tulane,Tigers,Green Wave,4,4,0,0,0,1661,Tulane,NA,NA,NA,Starting Lineup - Jaylen Forbes,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,DeAndre Williams,Jalen Duren,Lester Quinones,Alex Lomax,Earl Timberlake,Jaylen Forbes,Jalen Cook,Sion James,R.J. McGee,Kevin Cross
2021-22,2022-02-09,2397255,1,0,1,Memphis,Tulane,Tigers,Green Wave,4,4,0,0,0,1661,Tulane,NA,NA,NA,Starting Lineup - Jalen Cook,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,DeAndre Williams,Jalen Duren,Lester Quinones,Alex Lomax,Earl Timberlake,Jaylen Forbes,Jalen Cook,Sion James,R.J. McGee,Kevin Cross
2021-22,2022-02-09,2397255,1,0,1,Memphis,Tulane,Tigers,Green Wave,4,4,0,0,0,1661,Tulane,NA,NA,NA,Starting Lineup - Sion James,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,DeAndre Williams,Jalen Duren,Lester Quinones,Alex Lomax,Earl Timberlake,Jaylen Forbes,Jalen Cook,Sion James,R.J. McGee,Kevin Cross
2021-22,2022-02-09,2397255,1,0,1,Memphis,Tulane,Tigers,Green Wave,4,4,0,0,0,1661,Tulane,NA,NA,NA,Starting Lineup - R.J. McGee,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,DeAndre Williams,Jalen Duren,Lester Quinones,Alex Lomax,Earl Timberlake,Jaylen Forbes,Jalen Cook,Sion James,R.J. McGee,Kevin Cross
2021-22,2022-02-09,2397255,1,0,1,Memphis,Tulane,Tigers,Green Wave,4,4,0,0,0,1493,Memphis,NA,NA,NA,Starting Lineup - Lester Quinones,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,DeAndre Williams,Jalen Duren,Lester Quinones,Alex Lomax,Earl Timberlake,Jaylen Forbes,Jalen Cook,Sion James,R.J. McGee,Kevin Cross
2021-22,2022-02-09,2397255,1,0,1,Memphis,Tulane,Tigers,Green Wave,4,4,0,0,0,1493,Memphis,NA,NA,NA,Starting Lineup - Alex Lomax,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,DeAndre Williams,Jalen Duren,Lester Quinones,Alex Lomax,Earl Timberlake,Jaylen Forbes,Jalen Cook,Sion James,R.J. McGee,Kevin Cross
2021-22,2022-02-09,2397255,1,0,1,Memphis,Tulane,Tigers,Green Wave,4,4,0,0,0,1661,Tulane,NA,NA,NA,Starting Lineup - Kevin Cross,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,DeAndre Williams,Jalen Duren,Lester Quinones,Alex Lomax,Earl Timberlake,Jaylen Forbes,Jalen Cook,Sion James,R.J. McGee,Kevin Cross
2021-22,2022-02-09,2397255,1,0,1,Memphis,Tulane,Tigers,Green Wave,4,4,0,0,0,1493,Memphis,NA,NA,NA,Starting Lineup - Earl Timberlake,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,DeAndre Williams,Jalen Duren,Lester Quinones,Alex Lomax,Earl Timberlake,Jaylen Forbes,Jalen Cook,Sion James,R.J. McGee,Kevin Cross
