season,date,game_id,play_id,neutral,half,home,away,home_name,away_name,home_timeouts,away_timeouts,home_score,away_score,score_diff,team_id,event_team,game_secs_remaining,half_secs_remaining,play_length,desc,shot_outcome,free_throw,three_pt,shot_desc,loc_x,loc_y,shooter_id,shooter,assist,substitution,poss_before,poss_after,poss_number,sub_error,home_1,home_2,home_3,home_4,home_5,away_1,away_2,away_3,away_4,away_5
2021-22,2022-03-10,2439344,1,1,1,Ohio State,Penn State,Buckeyes,Nittany Lions,4,4,0,0,0,1557,Ohio State,NA,NA,NA,Starting Lineup - Justin Ahrens,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Justin Ahrens,Jamari Wheeler,Joey Brunk,Malaki Branham,E.J. Liddell,Dallion Johnson,John Harrar,Seth Lundy,Greg Lee,Jalen Pickett
2021-22,2022-03-10,2439344,1,1,1,Ohio State,Penn State,Buckeyes,Nittany Lions,4,4,0,0,0,1567,Penn State,NA,NA,NA,Starting Lineup - Dallion Johnson,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Justin Ahrens,Jamari Wheeler,Joey Brunk,Malaki Branham,E.J. Liddell,Dallion Johnson,John Harrar,Seth Lundy,Greg Lee,Jalen Pickett
2021-22,2022-03-10,2439344,1,1,1,Ohio State,Penn State,Buckeyes,Nittany Lions,4,4,0,0,0,1567,Penn State,NA,NA,NA,Starting Lineup - John Harrar,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Justin Ahrens,Jamari Wheeler,Joey Brunk,Malaki Branham,E.J. Liddell,Dallion Johnson,John Harrar,Seth Lundy,Greg Lee,Jalen Pickett
2021-22,2022-03-10,2439344,1,1,1,Ohio State,Penn State,Buckeyes,Nittany Lions,4,4,0,0,0,1567,Penn State,NA,NA,NA,Starting Lineup - Seth Lundy,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Justin Ahrens,Jamari Wheeler,Joey Brunk,Malaki Branham,E.J. Liddell,Dallion Johnson,John Harrar,Seth Lundy,Greg Lee,Jalen Pickett
2021-22,2022-03-10,2439344,1,1,1,Ohio State,Penn State,Buckeyes,Nittany Lions,4,4,0,0,0,1557,Ohio State,NA,NA,NA,Starting Lineup - Jamari Wheeler,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Justin Ahrens,Jamari Wheeler,Joey Brunk,Malaki Branham,E.J. Liddell,Dallion Johnson,John Harrar,Seth Lundy,Greg Lee,Jalen Pickett
2021-22,2022-03-10,2439344,1,1,1,Ohio State,Penn State,Buckeyes,Nittany Lions,4,4,0,0,0,1567,Penn State,NA,NA,NA,Starting Lineup - Greg Lee,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Justin Ahrens,Jamari Wheeler,Joey Brunk,Malaki Branham,E.J. Liddell,Dallion Johnson,John Harrar,Seth Lundy,Greg Lee,Jalen Pickett
2021-22,2022-03-10,2439344,1,1,1,Ohio State,Penn State,Buckeyes,Nittany Lions,4,4,0,0,0,1557,Ohio State,NA,NA,NA,Starting Lineup - Joey Brunk,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Justin Ahrens,Jamari Wheeler,Joey Brunk,Malaki Branham,E.J. Liddell,Dallion Johnson,John Harrar,Seth Lundy,Greg Lee,Jalen Pickett
2021-22,2022-03-10,2439344,1,1,1,Ohio State,Penn State,Buckeyes,Nittany Lions,4,4,0,0,0,1557,Ohio State,NA,NA,NA,Starting Lineup - Malaki Branham,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Justin Ahrens,Jamari Wheeler,Joey Brunk,Malaki Branham,E.J. Liddell,Dallion Johnson,John Harrar,Seth Lundy,Greg Lee,Jalen Pickett
2021-22,2022-03-10,2439344,1,1,1,Ohio State,Penn State,Buckeyes,Nittany Lions,4,4,0,0,0,1557,Ohio State,NA,NA,NA,Starting Lineup - E.J. Liddell,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Justin Ahrens,Jamari Wheeler,Joey Brunk,Malaki Branham,E.J. Liddell,Dallion Johnson,John Harrar,Seth Lundy,Greg Lee,Jalen Pickett
2021-22,2022-03-10,2439344,1,1,1,Ohio State,Penn State,Buckeyes,Nittany Lions,4,4,0,0,0,1567,Penn State,NA,NA,NA,Starting Lineup - Jalen Pickett,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Justin Ahrens,Jamari Wheeler,Joey Brunk,Malaki Branham,E.J. Liddell,Dallion Johnson,John Harrar,Seth Lundy,Greg Lee,Jalen Pickett
