season,date,game_id,play_id,neutral,half,home,away,home_name,away_name,home_timeouts,away_timeouts,home_score,away_score,score_diff,team_id,event_team,game_secs_remaining,half_secs_remaining,play_length,desc,shot_outcome,free_throw,three_pt,shot_desc,loc_x,loc_y,shooter_id,shooter,assist,substitution,poss_before,poss_after,poss_number,sub_error,home_1,home_2,home_3,home_4,home_5,away_1,away_2,away_3,away_4,away_5
2016-17,2017-02-11,1682151,1,0,1,Tulsa,Houston,Golden Hurricane,Cougars,4,4,0,0,0,1662,Tulsa,NA,NA,NA,Starting Lineup - Jaleel Wheeler,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Jaleel Wheeler,Martins Igbanu,Sterling Taplin,Pat Birt,Junior Etou,Rob Gray,Danrad Knowles,Galen Robinson Jr.,Kyle Meyer,Damyean Dotson
2016-17,2017-02-11,1682151,1,0,1,Tulsa,Houston,Golden Hurricane,Cougars,4,4,0,0,0,1436,Houston,NA,NA,NA,Starting Lineup - Rob Gray,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Jaleel Wheeler,Martins Igbanu,Sterling Taplin,Pat Birt,Junior Etou,Rob Gray,Danrad Knowles,Galen Robinson Jr.,Kyle Meyer,Damyean Dotson
2016-17,2017-02-11,1682151,1,0,1,Tulsa,Houston,Golden Hurricane,Cougars,4,4,0,0,0,1436,Houston,NA,NA,NA,Starting Lineup - Danrad Knowles,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Jaleel Wheeler,Martins Igbanu,Sterling Taplin,Pat Birt,Junior Etou,Rob Gray,Danrad Knowles,Galen Robinson Jr.,Kyle Meyer,Damyean Dotson
2016-17,2017-02-11,1682151,1,0,1,Tulsa,Houston,Golden Hurricane,Cougars,4,4,0,0,0,1662,Tulsa,NA,NA,NA,Starting Lineup - Martins Igbanu,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Jaleel Wheeler,Martins Igbanu,Sterling Taplin,Pat Birt,Junior Etou,Rob Gray,Danrad Knowles,Galen Robinson Jr.,Kyle Meyer,Damyean Dotson
2016-17,2017-02-11,1682151,1,0,1,Tulsa,Houston,Golden Hurricane,Cougars,4,4,0,0,0,1662,Tulsa,NA,NA,NA,Starting Lineup - Sterling Taplin,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Jaleel Wheeler,Martins Igbanu,Sterling Taplin,Pat Birt,Junior Etou,Rob Gray,Danrad Knowles,Galen Robinson Jr.,Kyle Meyer,Damyean Dotson
2016-17,2017-02-11,1682151,1,0,1,Tulsa,Houston,Golden Hurricane,Cougars,4,4,0,0,0,1436,Houston,NA,NA,NA,Starting Lineup - Galen Robinson Jr.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Jaleel Wheeler,Martins Igbanu,Sterling Taplin,Pat Birt,Junior Etou,Rob Gray,Danrad Knowles,Galen Robinson Jr.,Kyle Meyer,Damyean Dotson
2016-17,2017-02-11,1682151,1,0,1,Tulsa,Houston,Golden Hurricane,Cougars,4,4,0,0,0,1436,Houston,NA,NA,NA,Starting Lineup - Kyle Meyer,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Jaleel Wheeler,Martins Igbanu,Sterling Taplin,Pat Birt,Junior Etou,Rob Gray,Danrad Knowles,Galen Robinson Jr.,Kyle Meyer,Damyean Dotson
2016-17,2017-02-11,1682151,1,0,1,Tulsa,Houston,Golden Hurricane,Cougars,4,4,0,0,0,1436,Houston,NA,NA,NA,Starting Lineup - Damyean Dotson,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Jaleel Wheeler,Martins Igbanu,Sterling Taplin,Pat Birt,Junior Etou,Rob Gray,Danrad Knowles,Galen Robinson Jr.,Kyle Meyer,Damyean Dotson
2016-17,2017-02-11,1682151,1,0,1,Tulsa,Houston,Golden Hurricane,Cougars,4,4,0,0,0,1662,Tulsa,NA,NA,NA,Starting Lineup - Pat Birt,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Jaleel Wheeler,Martins Igbanu,Sterling Taplin,Pat Birt,Junior Etou,Rob Gray,Danrad Knowles,Galen Robinson Jr.,Kyle Meyer,Damyean Dotson
2016-17,2017-02-11,1682151,1,0,1,Tulsa,Houston,Golden Hurricane,Cougars,4,4,0,0,0,1662,Tulsa,NA,NA,NA,Starting Lineup - Junior Etou,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Jaleel Wheeler,Martins Igbanu,Sterling Taplin,Pat Birt,Junior Etou,Rob Gray,Danrad Knowles,Galen Robinson Jr.,Kyle Meyer,Damyean Dotson
