season,date,game_id,play_id,neutral,half,home,away,home_name,away_name,home_timeouts,away_timeouts,home_score,away_score,score_diff,team_id,event_team,game_secs_remaining,half_secs_remaining,play_length,desc,shot_outcome,free_throw,three_pt,shot_desc,loc_x,loc_y,shooter_id,shooter,assist,substitution,poss_before,poss_after,poss_number,sub_error,home_1,home_2,home_3,home_4,home_5,away_1,away_2,away_3,away_4,away_5
2016-17,2017-02-25,1685886,1,0,1,Oklahoma State,Texas Tech,Cowboys,Red Raiders,4,4,0,0,0,1559,Oklahoma State,NA,NA,NA,"Starting Lineup - Phil Forte, III",NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Phil Forte, III",Leyton Hammonds,Jeffrey Carroll,Mitchell Solomon,Jawun Evans,Aaron Ross,Keenan Evans,Justin Gray,Zach Smith,Anthony Livingston
2016-17,2017-02-25,1685886,1,0,1,Oklahoma State,Texas Tech,Cowboys,Red Raiders,4,4,0,0,0,1656,Texas Tech,NA,NA,NA,Starting Lineup - Aaron Ross,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Phil Forte, III",Leyton Hammonds,Jeffrey Carroll,Mitchell Solomon,Jawun Evans,Aaron Ross,Keenan Evans,Justin Gray,Zach Smith,Anthony Livingston
2016-17,2017-02-25,1685886,1,0,1,Oklahoma State,Texas Tech,Cowboys,Red Raiders,4,4,0,0,0,1559,Oklahoma State,NA,NA,NA,Starting Lineup - Leyton Hammonds,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Phil Forte, III",Leyton Hammonds,Jeffrey Carroll,Mitchell Solomon,Jawun Evans,Aaron Ross,Keenan Evans,Justin Gray,Zach Smith,Anthony Livingston
2016-17,2017-02-25,1685886,1,0,1,Oklahoma State,Texas Tech,Cowboys,Red Raiders,4,4,0,0,0,1559,Oklahoma State,NA,NA,NA,Starting Lineup - Jeffrey Carroll,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Phil Forte, III",Leyton Hammonds,Jeffrey Carroll,Mitchell Solomon,Jawun Evans,Aaron Ross,Keenan Evans,Justin Gray,Zach Smith,Anthony Livingston
2016-17,2017-02-25,1685886,1,0,1,Oklahoma State,Texas Tech,Cowboys,Red Raiders,4,4,0,0,0,1656,Texas Tech,NA,NA,NA,Starting Lineup - Keenan Evans,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Phil Forte, III",Leyton Hammonds,Jeffrey Carroll,Mitchell Solomon,Jawun Evans,Aaron Ross,Keenan Evans,Justin Gray,Zach Smith,Anthony Livingston
2016-17,2017-02-25,1685886,1,0,1,Oklahoma State,Texas Tech,Cowboys,Red Raiders,4,4,0,0,0,1656,Texas Tech,NA,NA,NA,Starting Lineup - Justin Gray,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Phil Forte, III",Leyton Hammonds,Jeffrey Carroll,Mitchell Solomon,Jawun Evans,Aaron Ross,Keenan Evans,Justin Gray,Zach Smith,Anthony Livingston
2016-17,2017-02-25,1685886,1,0,1,Oklahoma State,Texas Tech,Cowboys,Red Raiders,4,4,0,0,0,1656,Texas Tech,NA,NA,NA,Starting Lineup - Zach Smith,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Phil Forte, III",Leyton Hammonds,Jeffrey Carroll,Mitchell Solomon,Jawun Evans,Aaron Ross,Keenan Evans,Justin Gray,Zach Smith,Anthony Livingston
2016-17,2017-02-25,1685886,1,0,1,Oklahoma State,Texas Tech,Cowboys,Red Raiders,4,4,0,0,0,1559,Oklahoma State,NA,NA,NA,Starting Lineup - Mitchell Solomon,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Phil Forte, III",Leyton Hammonds,Jeffrey Carroll,Mitchell Solomon,Jawun Evans,Aaron Ross,Keenan Evans,Justin Gray,Zach Smith,Anthony Livingston
2016-17,2017-02-25,1685886,1,0,1,Oklahoma State,Texas Tech,Cowboys,Red Raiders,4,4,0,0,0,1656,Texas Tech,NA,NA,NA,Starting Lineup - Anthony Livingston,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Phil Forte, III",Leyton Hammonds,Jeffrey Carroll,Mitchell Solomon,Jawun Evans,Aaron Ross,Keenan Evans,Justin Gray,Zach Smith,Anthony Livingston
2016-17,2017-02-25,1685886,1,0,1,Oklahoma State,Texas Tech,Cowboys,Red Raiders,4,4,0,0,0,1559,Oklahoma State,NA,NA,NA,Starting Lineup - Jawun Evans,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Phil Forte, III",Leyton Hammonds,Jeffrey Carroll,Mitchell Solomon,Jawun Evans,Aaron Ross,Keenan Evans,Justin Gray,Zach Smith,Anthony Livingston
