season,date,game_id,play_id,neutral,half,home,away,home_name,away_name,home_timeouts,away_timeouts,home_score,away_score,score_diff,team_id,event_team,game_secs_remaining,half_secs_remaining,play_length,desc,shot_outcome,free_throw,three_pt,shot_desc,loc_x,loc_y,shooter_id,shooter,assist,substitution,poss_before,poss_after,poss_number,sub_error,home_1,home_2,home_3,home_4,home_5,away_1,away_2,away_3,away_4,away_5
2023-24,2023-11-22,2602055,1,0,1,Kansas State,Central Arkansas,Wildcats,Bears,4,4,0,0,0,1457,Kansas State,NA,NA,NA,Starting Lineup - Arthur Kaluma,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Arthur Kaluma,David N'Guessan,Tylor Perry,Will McNair Jr.,Cam Carter,Tucker Anderson,Johannes Kirsipuu,Carl Daughtery Jr.,Elias Cato,Masai Olowokere
2023-24,2023-11-22,2602055,1,0,1,Kansas State,Central Arkansas,Wildcats,Bears,4,4,0,0,0,1457,Kansas State,NA,NA,NA,Starting Lineup - David N'Guessan,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Arthur Kaluma,David N'Guessan,Tylor Perry,Will McNair Jr.,Cam Carter,Tucker Anderson,Johannes Kirsipuu,Carl Daughtery Jr.,Elias Cato,Masai Olowokere
2023-24,2023-11-22,2602055,1,0,1,Kansas State,Central Arkansas,Wildcats,Bears,4,4,0,0,0,1457,Kansas State,NA,NA,NA,Starting Lineup - Tylor Perry,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Arthur Kaluma,David N'Guessan,Tylor Perry,Will McNair Jr.,Cam Carter,Tucker Anderson,Johannes Kirsipuu,Carl Daughtery Jr.,Elias Cato,Masai Olowokere
2023-24,2023-11-22,2602055,1,0,1,Kansas State,Central Arkansas,Wildcats,Bears,4,4,0,0,0,1457,Kansas State,NA,NA,NA,Starting Lineup - Will McNair Jr.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Arthur Kaluma,David N'Guessan,Tylor Perry,Will McNair Jr.,Cam Carter,Tucker Anderson,Johannes Kirsipuu,Carl Daughtery Jr.,Elias Cato,Masai Olowokere
2023-24,2023-11-22,2602055,1,0,1,Kansas State,Central Arkansas,Wildcats,Bears,4,4,0,0,0,1457,Kansas State,NA,NA,NA,Starting Lineup - Cam Carter,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Arthur Kaluma,David N'Guessan,Tylor Perry,Will McNair Jr.,Cam Carter,Tucker Anderson,Johannes Kirsipuu,Carl Daughtery Jr.,Elias Cato,Masai Olowokere
2023-24,2023-11-22,2602055,1,0,1,Kansas State,Central Arkansas,Wildcats,Bears,4,4,0,0,0,2034,Central Arkansas,NA,NA,NA,Starting Lineup - Tucker Anderson,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Arthur Kaluma,David N'Guessan,Tylor Perry,Will McNair Jr.,Cam Carter,Tucker Anderson,Johannes Kirsipuu,Carl Daughtery Jr.,Elias Cato,Masai Olowokere
2023-24,2023-11-22,2602055,1,0,1,Kansas State,Central Arkansas,Wildcats,Bears,4,4,0,0,0,2034,Central Arkansas,NA,NA,NA,Starting Lineup - Johannes Kirsipuu,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Arthur Kaluma,David N'Guessan,Tylor Perry,Will McNair Jr.,Cam Carter,Tucker Anderson,Johannes Kirsipuu,Carl Daughtery Jr.,Elias Cato,Masai Olowokere
2023-24,2023-11-22,2602055,1,0,1,Kansas State,Central Arkansas,Wildcats,Bears,4,4,0,0,0,2034,Central Arkansas,NA,NA,NA,Starting Lineup - Carl Daughtery Jr.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Arthur Kaluma,David N'Guessan,Tylor Perry,Will McNair Jr.,Cam Carter,Tucker Anderson,Johannes Kirsipuu,Carl Daughtery Jr.,Elias Cato,Masai Olowokere
2023-24,2023-11-22,2602055,1,0,1,Kansas State,Central Arkansas,Wildcats,Bears,4,4,0,0,0,2034,Central Arkansas,NA,NA,NA,Starting Lineup - Elias Cato,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Arthur Kaluma,David N'Guessan,Tylor Perry,Will McNair Jr.,Cam Carter,Tucker Anderson,Johannes Kirsipuu,Carl Daughtery Jr.,Elias Cato,Masai Olowokere
2023-24,2023-11-22,2602055,1,0,1,Kansas State,Central Arkansas,Wildcats,Bears,4,4,0,0,0,2034,Central Arkansas,NA,NA,NA,Starting Lineup - Masai Olowokere,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Arthur Kaluma,David N'Guessan,Tylor Perry,Will McNair Jr.,Cam Carter,Tucker Anderson,Johannes Kirsipuu,Carl Daughtery Jr.,Elias Cato,Masai Olowokere
