season,date,game_id,play_id,neutral,half,home,away,home_name,away_name,home_timeouts,away_timeouts,home_score,away_score,score_diff,team_id,event_team,game_secs_remaining,half_secs_remaining,play_length,desc,shot_outcome,free_throw,three_pt,shot_desc,loc_x,loc_y,shooter_id,shooter,assist,substitution,poss_before,poss_after,poss_number,sub_error,home_1,home_2,home_3,home_4,home_5,away_1,away_2,away_3,away_4,away_5
2022-23,2023-01-03,2498922,1,0,1,Texas Tech,Kansas,Red Raiders,Jayhawks,4,4,0,0,0,1456,Kansas,NA,NA,NA,Starting Lineup - KJ Adams Jr.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Daniel Batcho,De'Vion Harmon,Kevin Obanor,Pop Isaacs,Jaylon Tyson,KJ Adams Jr.,Kevin McCullar Jr.,Gradey Dick,Jalen Wilson,Dajuan Harris Jr.
2022-23,2023-01-03,2498922,1,0,1,Texas Tech,Kansas,Red Raiders,Jayhawks,4,4,0,0,0,1456,Kansas,NA,NA,NA,Starting Lineup - Kevin McCullar Jr.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Daniel Batcho,De'Vion Harmon,Kevin Obanor,Pop Isaacs,Jaylon Tyson,KJ Adams Jr.,Kevin McCullar Jr.,Gradey Dick,Jalen Wilson,Dajuan Harris Jr.
2022-23,2023-01-03,2498922,1,0,1,Texas Tech,Kansas,Red Raiders,Jayhawks,4,4,0,0,0,1456,Kansas,NA,NA,NA,Starting Lineup - Gradey Dick,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Daniel Batcho,De'Vion Harmon,Kevin Obanor,Pop Isaacs,Jaylon Tyson,KJ Adams Jr.,Kevin McCullar Jr.,Gradey Dick,Jalen Wilson,Dajuan Harris Jr.
2022-23,2023-01-03,2498922,1,0,1,Texas Tech,Kansas,Red Raiders,Jayhawks,4,4,0,0,0,1456,Kansas,NA,NA,NA,Starting Lineup - Jalen Wilson,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Daniel Batcho,De'Vion Harmon,Kevin Obanor,Pop Isaacs,Jaylon Tyson,KJ Adams Jr.,Kevin McCullar Jr.,Gradey Dick,Jalen Wilson,Dajuan Harris Jr.
2022-23,2023-01-03,2498922,1,0,1,Texas Tech,Kansas,Red Raiders,Jayhawks,4,4,0,0,0,1656,Texas Tech,NA,NA,NA,Starting Lineup - Daniel Batcho,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Daniel Batcho,De'Vion Harmon,Kevin Obanor,Pop Isaacs,Jaylon Tyson,KJ Adams Jr.,Kevin McCullar Jr.,Gradey Dick,Jalen Wilson,Dajuan Harris Jr.
2022-23,2023-01-03,2498922,1,0,1,Texas Tech,Kansas,Red Raiders,Jayhawks,4,4,0,0,0,1456,Kansas,NA,NA,NA,Starting Lineup - Dajuan Harris Jr.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Daniel Batcho,De'Vion Harmon,Kevin Obanor,Pop Isaacs,Jaylon Tyson,KJ Adams Jr.,Kevin McCullar Jr.,Gradey Dick,Jalen Wilson,Dajuan Harris Jr.
2022-23,2023-01-03,2498922,1,0,1,Texas Tech,Kansas,Red Raiders,Jayhawks,4,4,0,0,0,1656,Texas Tech,NA,NA,NA,Starting Lineup - De'Vion Harmon,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Daniel Batcho,De'Vion Harmon,Kevin Obanor,Pop Isaacs,Jaylon Tyson,KJ Adams Jr.,Kevin McCullar Jr.,Gradey Dick,Jalen Wilson,Dajuan Harris Jr.
2022-23,2023-01-03,2498922,1,0,1,Texas Tech,Kansas,Red Raiders,Jayhawks,4,4,0,0,0,1656,Texas Tech,NA,NA,NA,Starting Lineup - Kevin Obanor,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Daniel Batcho,De'Vion Harmon,Kevin Obanor,Pop Isaacs,Jaylon Tyson,KJ Adams Jr.,Kevin McCullar Jr.,Gradey Dick,Jalen Wilson,Dajuan Harris Jr.
2022-23,2023-01-03,2498922,1,0,1,Texas Tech,Kansas,Red Raiders,Jayhawks,4,4,0,0,0,1656,Texas Tech,NA,NA,NA,Starting Lineup - Pop Isaacs,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Daniel Batcho,De'Vion Harmon,Kevin Obanor,Pop Isaacs,Jaylon Tyson,KJ Adams Jr.,Kevin McCullar Jr.,Gradey Dick,Jalen Wilson,Dajuan Harris Jr.
2022-23,2023-01-03,2498922,1,0,1,Texas Tech,Kansas,Red Raiders,Jayhawks,4,4,0,0,0,1656,Texas Tech,NA,NA,NA,Starting Lineup - Jaylon Tyson,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Daniel Batcho,De'Vion Harmon,Kevin Obanor,Pop Isaacs,Jaylon Tyson,KJ Adams Jr.,Kevin McCullar Jr.,Gradey Dick,Jalen Wilson,Dajuan Harris Jr.
